project_id,project_name,client_name,project_type,project_manager,location,project_status,baseline_start_date,baseline_completion_date,actual_start_date,actual_completion_date,original_contract_value,original_budget
P001,Juniper Retail 01,Wasatch Health Partners,High-End Residential,Priya Shah,Sandy,completed,2023-02-26,2023-10-23,2023-03-12,2023-11-13,1344000,1136900
P002,Wasatch Renovation 02,Juniper Hospitality,Tenant Improvement,Priya Shah,Sandy,completed,2023-02-09,2023-05-09,2023-02-10,2023-05-19,858000,663600
P003,Summit Center 03,Intermountain Office Holdings,Healthcare Renovation,Elena Martinez,Provo,completed,2023-12-04,2024-07-05,2023-12-13,2024-07-08,1659000,1453700
P004,Juniper Medical 04,Cottonwood Capital,Tenant Improvement,Elena Martinez,Park City,completed,2024-05-05,2024-10-03,2024-05-18,2024-10-26,1139000,870600
P005,Summit Residences 05,Peakview Residential,Healthcare Renovation,Marcus Reed,Sandy,Complete,2024-10-16,2025-05-17,2024-10-19,2025-07-13,2723000,2296200
P006,Granite Commons 06,Wasatch Health Partners,Commercial Renovation,Priya Shah,Salt Lake City,completed,2024-01-15,2024-08-24,2024-01-21,2024-09-23,1629000,1285700
P007,Wasatch Renovation 07,Juniper Hospitality,Healthcare Renovation,Daniel Kim,Provo,completed,2023-09-28,2024-03-09,2023-10-03,2024-05-09,2553000,2014500
P008,Bonneville Renovation 08,Juniper Hospitality,Healthcare Renovation,Elena Martinez,Provo,completed,2023-12-29,2024-06-04,2024-01-03,2024-06-07,2693000,2319000
P009,Wasatch Retail 09,Peakview Residential,Tenant Improvement,Marcus Reed,Salt Lake City,completed,2023-06-03,2023-12-28,2023-06-07,2024-02-15,709000,553600
P010,Juniper Office 10,Canyon Retail Group,Commercial Renovation,Priya Shah,Provo,completed,2025-04-28,2025-09-17,2025-05-10,2025-09-15,696000,539400
P011,Granite Residences 11,Bonneville Property Co.,Commercial Renovation,Daniel Kim,Ogden,completed,2024-03-09,2024-09-22,2024-03-22,2024-10-29,989000,830000
P012,Canyon Retail 12,Intermountain Office Holdings,Healthcare Renovation,Priya Shah,Provo,completed,2023-10-28,2024-05-22,2023-10-31,2024-06-18,1189000,1022800
P013,Aspen Renovation 13,Redstone Communities,Healthcare Renovation,Priya Shah,Park City,completed,2023-03-21,8/10/2023,2023-03-18,2023-08-26,2720000,2217400
P014,Bonneville Lodge 14,Juniper Hospitality,Healthcare Renovation,Priya Shah,Ogden,completed,2024-12-07,2025-04-05,2024-12-05,2025-04-23,2837000,2438200
