update_id,project_id,report_date,planned_pct_complete,actual_pct_complete,estimated_cost_to_complete,forecast_completion_date,primary_delay_reason,submitted_by
UPD00001,P001,2023-04-09,12.4,13,1010023.67,2023-10-30,Labor availability,Priya Shah
UPD00002,P001,2023-05-07,24.9,20.4,895182.7,2023-11-01,Labor availability,Priya Shah
UPD00003,P001,2023-06-04,37.3,35.2,742180.37,2023-11-03,Labor availability,Priya Shah
UPD00004,P001,2023-07-02,49.8,45.6,623924.6,2023-11-04,Labor availability,Priya Shah
UPD00005,P001,2023-07-30,62.2,59.3,465505.53,2023-11-06,Labor availability,Priya Shah
UPD00006,P001,2023-08-27,74.7,67,308237.79,2023-11-08,Labor availability,Priya Shah
UPD00007,P001,2023-09-24,87.1,81.1,224568.52,2023-11-10,Labor availability,Priya Shah
UPD00008,P001,2023-10-22,99.6,90.1,69213.57,2023-11-12,Labor availability,Priya Shah
UPD00009,P001,2023-11-13,100,100,0,2023-11-13,Labor availability,Priya Shah
UPD00010,P002,2023-03-10,31.8,30.6,474390.8,2023-05-14,Owner decision / change order,Priya Shah
UPD00011,P002,2023-04-07,63.6,56.1,287253.26,2023-05-16,Subcontractor availability,Priya Shah
UPD00012,P002,2023-05-05,95.5,84.8,125245.17,2023-05-18,Subcontractor availability,Priya Shah
UPD00013,P002,2023-05-19,100,100,0,2023-05-19,Owner decision / change order,Priya Shah
UPD00014,P003,2024-01-10,13.7,15.1,1302857.58,2024-07-06,None,Elena Martinez
UPD00015,P003,2024-02-07,27.3,25.5,1028310.83,2024-07-06,None,Elena Martinez
UPD00016,P003,2024-03-06,41,38.4,680935.15,2024-07-07,None,Elena Martinez
UPD00017,P003,2024-04-03,54.6,55.5,543521.18,2024-07-07,None,Elena Martinez
UPD00018,P003,2024-05-01,68.3,66.3,470411.51,2024-07-07,None,Elena Martinez
UPD00019,P003,2024-05-29,82,79.1,272361.92,2024-07-08,None,Elena Martinez
UPD00020,P003,2024-06-26,95.6,92.9,114677.11,2024-07-08,None,Elena Martinez
UPD00021,P003,2024-07-08,100,100,0,2024-07-08,None,Elena Martinez
UPD00022,P004,2024-06-15,20.3,16.3,814679.45,2024-10-12,Owner decision / change order,Elena Martinez
UPD00023,P004,2024-07-13,40.6,35.6,637651.91,2024-10-15,Material lead time,Elena Martinez
UPD00024,P004,2024-08-10,60.9,52.9,511168.19,2024-10-18,Unforeseen site condition,Elena Martinez
UPD00025,P004,2024-09-07,81.2,67.5,304156.49,2024-10-21,Material lead time,Elena Martinez
UPD00026,P004,2024-10-05,100,89,137754.59,2024-10-24,Material lead time,Elena Martinez
UPD00027,P004,2024-10-26,100,100,0,2024-10-26,Unforeseen site condition,Elena Martinez
UPD00028,P005,2024-11-16,13.3,8.6,2418282.78,2025-06-05,Inspection / approval delay,Marcus Reed
UPD00029,P005,2024-12-14,26.7,21.8,2138864.39,2025-06-09,Inspection / approval delay,Marcus Reed
UPD00030,P005,2025-01-11,40,30.4,1851586.65,2025-06-14,Inspection / approval delay,Marcus Reed
UPD00031,P005,2025-02-08,53.3,44.2,1577203.65,2025-06-18,Inspection / approval delay,Marcus Reed
